Temparature,Humidity ,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
25,50,26,Red,Ground Nuts,15,14,11,17-17-17
29,58,34,Sandy,Millets,15,0,37,DAP
27,54,30,Clayey,Pulses,13,0,13,20-20
30,60,58,Loamy,Sugarcane,10,7,32,14-35-14
32,62,34,Red,Tobacco,22,0,24,28-28
34,65,60,Black,Sugarcane,35,0,0,Urea
35,67,42,Sandy,Barley,10,0,35,DAP
38,70,48,Loamy,Wheat,8,8,28,14-35-14
26,52,32,Black,Oil seeds,12,0,8,20-20
29,58,43,Clayey,Paddy,24,0,18,28-28
30,60,29,Red,Ground Nuts,41,0,0,Urea
33,64,51,Sandy,Maize,5,9,29,14-35-14
34,65,31,Red,Tobacco,23,0,21,28-28
36,68,33,Black,Oil seeds,13,0,14,20-20
28,54,38,Clayey,Pulses,40,0,0,Urea
30,60,47,Sandy,Barley,12,0,42,DAP
31,62,63,Red,Cotton,11,12,15,17-17-17
27,53,43,Black,Millets,23,0,24,28-28
34,65,54,Loamy,Wheat,38,0,0,Urea
29,58,37,Sandy,Millets,8,0,15,20-20
25,50,56,Loamy,Sugarcane,11,13,15,17-17-17
32,62,34,Red,Ground Nuts,15,0,37,DAP
28,54,41,Clayey,Paddy,36,0,0,Urea
30,60,49,Loamy,Wheat,13,0,9,20-20
34,65,64,Black,Cotton,24,0,20,28-28
28,54,47,Sandy,Barley,5,18,15,10-26-26
27,53,35,Black,Oil seeds,37,0,0,Urea
36,68,62,Red,Cotton,15,0,40,DAP
34,65,57,Black,Sugarcane,9,0,13,20-20
29,58,55,Loamy,Sugarcane,8,8,33,14-35-14
25,50,40,Clayey,Pulses,6,19,16,10-26-26
30,60,38,Sandy,Millets,10,0,14,20-20
26,52,39,Clayey,Pulses,21,0,23,28-28
31,62,32,Red,Tobacco,39,0,0,Urea
34,65,48,Loamy,Wheat,23,0,19,28-28
27,53,34,Black,Oil seeds,42,0,0,Urea
33,64,31,Red,Ground Nuts,13,0,39,DAP
29,58,42,Clayey,Paddy,9,10,22,14-35-14
30,60,47,Sandy,Maize,22,0,21,28-28
27,53,59,Loamy,Sugarcane,10,0,15,20-20
26,52,36,Clayey,Pulses,7,16,20,10-26-26
34,65,63,Red,Cotton,14,0,38,DAP
28,54,43,Clayey,Paddy,10,8,29,14-35-14
30,60,40,Sandy,Millets,41,0,0,Urea
29,58,65,Black,Cotton,14,0,35,DAP
26,52,59,Loamy,Sugarcane,11,0,9,20-20
31,62,44,Sandy,Barley,21,0,28,28-28
35,67,28,Clayey,Pulses,8,7,31,14-35-14
29,58,30,Red,Tobacco,13,17,16,10-26-26
27,53,30,Black,Millets,35,0,0,Urea
36,68,50,Loamy,Wheat,12,18,19,10-26-26
29,58,61,Loamy,Cotton,11,0,38,DAP
30,60,26,Black,Oil seeds,8,9,30,14-35-14
34,65,45,Clayey,Paddy,6,19,21,10-26-26
36,68,41,Red,Ground Nuts,41,0,0,Urea
28,54,25,Sandy,Maize,9,10,30,14-35-14
25,50,32,Clayey,Pulses,24,0,19,28-28
30,60,27,Red,Tobacco,4,17,17,10-26-26
38,72,51,Loamy,Wheat,39,0,0,Urea
36,60,43,Sandy,Millets,15,0,41,DAP
29,58,57,Black,Sugarcane,12,0,10,20-20
27,55,40,Loamy,Maize,18,0,20,28-28
31,61,52,Black,Cotton,16,12,18,17-17-17
33,66,47,Clayey,Paddy,22,0,25,28-28
29,57,36,Sandy,Barley,14,8,16,17-17-17
35,69,58,Loamy,Sugarcane,20,10,22,17-17-17
26,51,33,Red,Ground Nuts,12,0,35,DAP
32,63,41,Black,Oil seeds,19,7,21,14-35-14
34,67,49,Loamy,Wheat,24,0,18,28-28
28,55,44,Clayey,Pulses,16,0,24,28-28
30,59,37,Sandy,Millets,13,0,14,20-20
36,70,55,Red,Cotton,17,0,34,DAP
27,53,42,Loamy,Maize,21,6,19,17-17-17
31,63,39,Clayey,Paddy,20,0,28,28-28
25,49,31,Sandy,Barley,10,12,15,17-17-17
33,65,60,Black,Sugarcane,23,9,24,17-17-17
29,58,35,Red,Ground Nuts,15,0,32,DAP
34,66,46,Loamy,Wheat,26,0,17,28-28
28,54,48,Clayey,Pulses,18,0,20,28-28
30,60,39,Sandy,Millets,14,0,16,20-20
35,69,57,Black,Cotton,19,11,23,17-17-17
27,52,41,Loamy,Maize,22,5,21,17-17-17
32,64,50,Clayey,Paddy,25,0,27,28-28
26,50,30,Sandy,Barley,11,14,13,17-17-17
34,67,59,Loamy,Sugarcane,21,8,26,17-17-17
29,57,34,Red,Ground Nuts,13,0,33,DAP
33,65,43,Black,Oil seeds,18,6,22,14-35-14
37,71,54,Loamy,Wheat,27,0,20,28-28
28,55,46,Clayey,Pulses,17,0,23,28-28
31,61,38,Sandy,Millets,12,0,18,20-20
36,70,56,Red,Cotton,20,0,36,DAP
27,54,45,Loamy,Maize,19,7,18,17-17-17
32,63,40,Clayey,Paddy,23,0,26,28-28
25,48,29,Sandy,Barley,9,11,14,17-17-17
34,66,61,Black,Sugarcane,24,10,25,17-17-17
29,58,37,Red,Ground Nuts,16,0,34,DAP
33,64,47,Loamy,Wheat,25,0,19,28-28
28,55,49,Clayey,Pulses,19,0,22,28-28
30,59,41,Sandy,Millets,15,0,17,20-20
35,68,53,Black,Cotton,21,12,24,17-17-17
27,53,43,Loamy,Maize,20,6,20,17-17-17
